S.No,BP,AT,PM10,RH,PM2.5,WD,WS,NH3,CO,NO,NO2,NOx,SO2,Ozone,AQI,Label
2021,971.7766667,37.36291667,61.16666667,60.55916667,24.21875,227.875,0.680416667,28.905,1.207083333,53.13458333,35.95958333,62.45541667,9.104166667,53.20958333,1.813174461,Moderate
2022,972.6308333,34.06666667,52.4375,71.66333333,28.4375,124.5520833,0.841666667,20.87666667,1.626666667,18.28,27.075,29.31041667,8.444166667,53.01625,1.643310352,Moderate
2023,973.5191667,33.88833333,57.58333333,72.64875,24.46875,144.0416667,0.6775,18.04583333,1.456659635,16.56583333,20.79875,24.56458333,9.62375,46.92166667,1.493996469,Moderate
2024,973.62375,34.57,75.97916667,74.20708333,50.69791667,93.03125,0.614166667,20.97923031,1.700828645,16.51242367,25.60025675,27.44199211,12.49984983,55.13794248,1.45301259,Moderate
2025,978.2592424,11.94934387,173.1250764,88.01997394,142.4068571,155.6061242,0.747318985,32.29798031,1.872492968,72.80034033,40.26692341,81.45740878,12.07706642,60.12169248,1.587230732,Moderate
2026,986.7762879,10.43,290.78125,68.3675,145.21875,262.6145833,0.929166667,34.69293788,2.207083333,76.76233567,72.85859008,109.4128863,3.111666667,29.26541667,1.232017471,Moderate
2027,977.3717803,21.16478129,225.9791921,73.26249131,102.1182579,229.8999581,0.576745217,26.38627121,2.379580989,111.1446713,56.96286336,133.8333029,11.35054992,20.91764749,1.59063437,Moderate
2028,967.1097917,26.09989622,154.4066064,55.30657981,115.8381898,224.7599974,1.071202173,35.02050911,1.521217183,60.50605599,60.11872065,84.18927025,14.40319799,54.6307891,1.503804572,Moderate
2029,969.0104546,27.38475093,208.500611,64.32979153,115.8381898,179.8489937,0.801885214,35.02050911,2.269943743,60.50605599,60.11872065,84.18927025,14.40319799,43.93353986,1.39314525,Moderate
2030,972.4654167,36.21916667,93.48958333,53.92333333,68.73958333,164.7291667,0.525416667,35.7275,2.107916667,7.3975,36.39958333,25.39291667,21.10708333,117.7493142,1.307993009,Moderate
2031,973.5775,34.14125,41.5625,74.34208333,29.47916667,99.21875,1.214583333,19.90291667,1.240416667,10.085,23.43666667,20.69083333,8.752083333,44.10541667,1.93384789,Moderate
2032,971.7883333,36.88958333,83.03125,63.27166667,56.05208333,155.5729167,0.351666667,52.26875,1.372080989,74.19125,110.5775,122.2979167,12.69041667,33.15125,1.486852185,Moderate
2033,972.67875,35.35166667,88.25010183,65.82375,50.2646983,244.9479167,0.342916667,19.76708333,1.609992968,55.3225,38.62208333,65.16916667,11.60733291,23.65083333,1.30213883,Moderate
